00C	ANIMAS AIR PARK
PFCL	CLARKS POINT ARPT
PFKA	KASIGLUK ARPT
PFNO	ROBERT -BOB CURTIS MEMORIAL ARPT
PGM	PORT GRAHAM ARPT
PGRO	ROTA INTL ARPT
PGSN	FRANCISCO C. ADA/SAIPAN INTL ARPT
PGUM	GUAM INTL ARPT
PGWT	TINIAN INTL
PHDH	DILLINGHAM AIRFIELD
PHHN	HANA ARPT
PHJH	KAPALUA ARPT
PHJR	KALAELOA ARPT JOHN RODGERS FIELD
PHKO	KONA INTL ARPT AT KEAHOLE
PHLI	LIHUE ARPT
PHLU	KALAUPAPA ARPT
PHMK	MOLOKAI ARPT
PHNL	HONOLULU INTL ARPT
PHNY	LANAI ARPT
PHOG	KAHULUI ARPT
PHTO	HILO INTL ARPT
PJON	JOHNSTON ATOLL ARPT
PKMJ	MARSHALL ISLANDS INTL ARPT
PKWA	BUCHOLZ AAF MARSHALL
PLPA	PALMYRA -COOPER AIRPORT
PMDY	HENDERSON FIELD
PTPN	POHNPEI INTL ARPT
PVT	PRIVATE AIR STRIP
PWAK	WAKE ISLAND AIRFIELD
R47	RUHES ARPT
RCKH	KAOHSIUNG INTL
RCTP	TAIBEI INTL
RIGG	OIL RIG
RJAA	NARITA INTL ARPT
RJBB	KANSAI INTL
RJCC	NEW CHITOSE
RJNA	NAGOYA JAPAN
RJOI	IWAKUNI
RJTQ	MIYAKEJIMA
RJTT	TOKYO INTL
RJTY	TACHIKAWA/YOKOTA AB ARPT
RKJK	KUNSAN
RKPK	PUSAN
RKSI	INCHEON INTL
RKSS	KIMPO INTL
RMPC	MACTAN CEBU ARPT
RPLB	SUBIC BAY INTL
RPLC	CLARK INTL
RPLL	MANILA-NINOY AQUINO INTL
RPVM	MACTAN-CEBU INTL
S03	ASHLAND MUNI ARPT- SUMNER PARKER FLD
S19	MCCORMICK COUNTY
S21	SUNRIVER
S31	LOPEZ ISLAND ARPT
S32	COOPERSTOWN MUNICIPAL ARPT
S43	HARVEY FIELD
S48	COUNTRY SQUIRE AIRPARK
S50	AUBURN MUNICIPAL ARPT -WA
S72	ST. MARIES MUNICIPAL
S83	SHOSHONE COUNTY ARPT
SABE	JORGE NEWBERY
SAEZ	MINISTRO PISTARINI
SBGL	GALEAO INTL -RIO
SBGR	GUARULHOS INTL
SBKP	VIRACOPOS-CAMPINAS INTL ARPT
SCEL	SANTIAGO INTL
SEGU	GUAYAQUIL/S BOLIVAR
SEMT	ELOY ALFARO INTL
SEQU	OLD MARISCAL SUCRE INTL ARPT
SGES	CIUDAD DEL ESTE GARCIA
SKBO	SANTA FE DE BOGOTA
SKBQ	ERNESTO CORTISSOZ
SKCL	CALI/VALLE
SKRG	JOSE MARIA CORDOVE ARPT
SKSP	GUSTAVO ROJAS PINILLA INTL ARPT
SLVR	VIRU VIRU INTL
SPANI	
SPIM	JORGE CHAVEZ INTL
SUMU	INTL DE CARRASCO
SVMC	LA CHINITA INTL
SVMI	SIMON BOLIVAR INTL
SVVA	ARTURO MICHELENA INTL
T05	CHARLES R JOHNSON ARPT
T40	MCGEHEE CATFISH REST
T67	HICKS AIRFIELD
T82	GILLESPIE COUNTY
TAPA	V C BIRD INTL ARPT
TBPB	GRANTLEY ADAMS BARBA
TDPD	DOUGLAS-CHARLES AIRPORT
TGPY	MAURICE BISHOP INTL ARPT
TIST	CYRIL E KING ARPT
TISX	HENRY E ROHLSEN ARPT
TJBQ	RAFAEL HERNANDEZ ARPT
TJMZ	EUGENIO MARIA DE HOSTOS ARPT
TJPS	MERCEDITA ARPT
TJSJ	LUIS MUNOZ MARIN INTL
TKPK	ROBT L BRADSHAW INTL
TLPC	ST. LUCIA-VIGIE
TLPL	HEWANORRA ST LUCIA
TN85	HOGUE ARPT
TNCA	ORANJESTAD/REINA BEA
TNCM	PRINCESS JULIANA
TQPF	WALLBLAKE
TRPG	OSBORNE ARPT
TTPP	PIARCO TRINIDAD
TUPJ	T B LETTSOME INTL
TX17	ETMC - ATHENS HELIPORT
TX33	HAIRE ARPT
TXKF	L F WADE INTL ARPT
TYE	TYONEK ARPT
U42	SOUTH VALLEY REGIONAL ARPT
U68	NORTH BIG HORN COUNTY ARPT
UAAA	ALMATY INTL ARPT
UCFM	MANAS INTL ARPT
UHHH	KHABAROVSK
UT25	MONUMENT VALLEY ARPT -PVT
UUDD	DOMODEDOVE INTL ARPT
UUEE	SHEREMETYEVO INTL
VABB	BOMBAY/MUMBAI
VHHH	HONG KONG INTL
VI22	CHARLOTTE AMALIE HARBOR SEAPLANE BASE
VIDP	INDIRA GANDHI INTL
VOBG	BANGALORE INTL ARPT
VTBD	DON MUEANG INTL ARPT
VTBS	SUVARNABHUMI INTL ARPT
VVNB	NOI BAI INTL ARPT
VVTS	TANSONNHAT
W13	EAGLES NEST ARPT
W22	UPSHUR COUNTY REGIONAL ARPT
W28	SEQUIM VALLEY ARPT
W29	BAY BRIDGE
W32	WASHINGTON EXECUTIVE ARPT HYDE FIELD
W39	ROCHE HARBOR -SPB
W40	MOUNT OLIVE MUNICIPAL ARPT
W48	ESSEX SKYPARK
W50	DAVIS AIRPORT
W78	WILLIAM M TUCK ARPT
W91	SMITH MOUNTAIN LAKE
W96	NEW KENT COUNTY
WIII	SOEKARNO-HATTA
WMKK	KUALA LUMPUR INTL
WMKP	PENANG INTL
WSSL	SELETAR ARPT
WSSS	CHANGI INTL -SINGAPORE
WV27	CABELL HUNTINGTON HOSPITAL HELIPORT
WV42	WEIRTON-STEUBENVILLE
X06	ARCADIA MUNICIPAL ARPT
X13	CARRABELLE-THOMPSON
X21	ARTHUR DUNN AIR PARK
X26	SEBASTIAN MUNICIPAL
X35	MARION COUNTY ARPT
X46	OPA LOCKA WEST
X50	MASSEY RANCH AIRPARK
X51	HOMESTEAD GENERAL AVIATION ARPT
X58	INDIANTOWN
X59	VALKARIA
X60	WILLISTON MUNICIPAL ARPT
XS40	JAY KAY RANCH ARPT
XS90	FENTRESS AIRPARK
Y19	MANDAN MUNICIPAL
Y31	WEST BRANCH COMMUNITY ARPT
Y50	WAUTOMA MUNICIPAL
Y55	CRANDON/STEVE CONWAY MUNI ARPT
Y65	CALVIN CAMPBELL MUNICIPAL
Y70	IONIA COUNTY
YBHM	HAMILTON ISLAND
YMML	MELBOURNE AUSTRALIA
YSSY	SYDNEY INTL ARPT
Z41	LAKE HOOD STRIP ARPT
ZBAA	CAPITAL -BEIJING
ZBTJ	TIANJIN -CHINA
ZGGG	BAIYUN AIRPORT
ZGSZ	SHENZHEN BAOAN INTL ARPT
ZSPD	PU DONG INTL ARPT
ZSQD	QINGDAO LIUTING INTL ARPT
ZUUU	SHUANGLIU ARPT
ZZZZ	UNKNOWN
