00C	ANIMAS AIR PARK
KALX	THOMAS RUSSELL FIELD
KAMA	RICK HUSBAND AMARILLO INTL
KAMN	GRATIOT COMMUNITY
KANB	ANNISTON METROPOLITAN ARPT
KAND	ANDERSON REGIONAL
KANE	ANOKA COUNTY-BLAINE
KANJ	SAULT STE MARIE MUNICIPAL
KANQ	TRI-STATE STEUBEN COUNTY ARPT
KAOH	LIMA ALLEN COUNTY
KAOO	ALTOONA-BLAIR COUNTY
KAPA	CENTENNIAL ARPT
KAPC	NAPA COUNTY ARPT
KAPF	NAPLES MUNICIPAL
KAPN	ALPENA COUNTY REG
KAPT	MARION COUNTY-BROWN FIELD
KAQO	LLANO MUNICIPAL ARPT
KARA	ACADIANA REGIONAL ARPT
KARB	ANN ARBOR MUNICIPAL
KARG	WALNUT RIDGE REGIONAL ARPT
KARR	AURORA MUNICIPAL ARPT
KART	WATERTOWN INTL ARPT
KARV	LAKELAND ARPT/NOBLE F. LEE MEMORIAL FIELD
KARW	BEAUFORT COUNTY ARPT
KASD	SLIDELL AIRPORT
KASE	ASPEN-PITKIN COUNTY ARPT/SARDY FIELD
KASG	SPRINGDALE MUNICIPAL ARPT
KASH	BOIRE FIELD
KASL	HARRISON COUNTY ARPT
KAST	ASTORIA REGIONAL
KASW	WARSAW MUNICIPAL -IN
KASX	JOHN F KENNEDY MEMORIAL
KATL	HARTSFIELD - JACKSON ATLANTA INTL ARPT
KATW	OUTAGAMIE COUNTY REGIONAL
KATY	WATERTOWN REGIONAL ARPT
KAUG	AUGUSTA STATE
KAUM	AUSTIN MUNICIPAL
KAUN	AUBURN MUNICIPAL -CA
KAUO	AUBURN-OPELIKA RG PITTS
KAUS	AUSTIN-BERGSTROM INTL
KAUW	WAUSAU DOWNTOWN ARPT
KAVC	MECKLENBURG-BRUNSWICK REGIONAL
KAVL	ASHEVILLE REGIONAL ARPT
KAVP	WILKES-BARRE/SCRANTON INTL
KAVQ	MARANA REGIONAL ARPT
KAWO	ARLINGTON MUNICIPAL ARPT -WA
KAXH	HOUSTON-SOUTHWEST ARPT
KAXN	CHANDLER FIELD ARPT
KAXS	ALTUS/QUARTZ MOUNTAIN RGNL ARPT
KAZO	KALAMAZOO/BATTLE CREEK INTL
KB10	BOWMAN FIELD ARPT
KB19	BIDDEFORD MUNICIPAL
KBAD	BARKSDALE AIR FORCE BASE ARPT
KBAF	BARNES MUNICIPAL ARPT
KBAK	COLUMBUS MUNICIPAL ARPT -IN
KBAX	HURON COUNTY MEMORIAL
KBAZ	NEW BRAUNFELS MUNICIPAL ARPT
KBBG	BRANSON ARPT
KBCB	VIRGINIA TECH/MONTGOMERY EXEC ARPT
KBCT	BOCA RATON ARPT
KBDE	BAUDETTE INTL ARPT
KBDG	BLANDING MUNICIPAL
KBDH	WILLMAR MUNI ARPT-JOHN L RICE FIELD
KBDL	BRADLEY INTL
KBDR	IGOR I SIKORSKY MEMORIAL
KBDU	BOULDER MUNICIPAL
KBEC	BEECH FACTORY ARPT
KBED	LAURENCE G HANSCOM FIELD ARPT
KBEH	SOUTHWEST MICHIGAN REGIONAL
KBFD	BRADFORD REGIONAL
KBFF	WESTERN NEBRASKA REGNL ARPT/WILLIAM B. HEILIG FIELD
KBFI	BOEING FIELD/KING COUNTY INTL ARPT
KBFL	MEADOWS FIELD ARPT
KBFM	MOBILE DOWNTOWN ARPT
KBFR	VIRGIL I GRISSOM MUNICIPAL
KBGE	DECATUR COUNTY INDUSTRIAL AIR PARK
KBGM	GREATER BINGHAMTON ARPT/EDWIN A LINK FIELD
KBGR	BANGOR INTL
KBHB	HANCOCK COUNTY-BAR HARBOR
KBHM	BIRMINGHAM-SHUTTLESWORTH INTL
KBID	BLOCK ISLAND STATE
KBIL	BILLINGS LOGAN INTL
KBIS	BISMARCK MUNICIPAL ARPT
KBIV	TULIP CITY ARPT
KBJC	ROCKY MOUNTAIN METROPOLITAN ARPT
KBJI	BEMIDJI REGIONAL ARPT
KBJJ	WAYNE COUNTY
KBKF	BUCKLEY ANGB ARPT
KBKL	BURKE LAKEFRONT
KBKN	BLACKWELL-TONKAWA MUNICIPAL
KBKS	BROOKS COUNTY
KBKV	BROOKSVILLE-TAMPA BAY REGNL ARPT
KBKW	RALEIGH COUNTY MEMORIAL
KBKX	BROOKINGS REGIONAL ARPT
KBLI	BELLINGHAM INTL
KBLM	MONMOUTH EXECUTIVE ARPT
KBLV	SCOTT AFB/MIDAMERICA ARPT
KBMC	BRIGHAM CITY ARPT
KBMG	MONROE COUNTY
KBMI	CENTRAL ILLINOIS REGNL ARPT AT BLOOMINGTON-NORMAL
KBML	BERLIN REGIONAL ARPT
KBNA	NASHVILLE INTL
KBNO	BURNS MUNICIPAL AIRPORT
KBOI	BOISE AIR TERMINAL/GOWEN FIELD
KBOS	GENERAL EDWARD LAWRENCE LOGAN INTL ARPT
KBOW	BARTOW MUNICIPAL
KBPG	BIG SPRING MCMAHON-WRINKLE ARPT
KBPI	MILEY MEMORIAL FIELD ARPT
KBPT	JACK BROOKS REGIONAL ARPT
KBQK	BRUNSWICK GOLDEN ISLES
KBRD	BRAINERD LAKES REGIONAL ARPT
KBRL	SOUTHEAST IOWA REGIONAL ARPT
KBRO	BROWNSVILLE/SOUTH PADRE ISLAND INTL ARPT
KBTF	BOUNTIFUL SKYPARK
KBTL	W K KELLOGG ARPT
KBTM	BERT MOONEY
KBTN	BRITTON MUNICIPAL ARPT SD
KBTR	BATON ROUGE METROPOLITAN, RYAN FIELD
KBTV	BURLINGTON INTL
KBUF	BUFFALO-NIAGARA INTL
KBUR	BOB HOPE ARPT
KBUY	BURLINGTON-ALAMANCE REGIONAL
KBVI	BEAVER COUNTY ARPT
KBVO	BARTLESVILLE MUNICIPAL ARPT
KBVS	SKAGIT REGIONAL
KBVU	BOULDER CITY MUNICIPAL ARPT
KBVY	BEVERLY MUNICIPAL ARPT
KBWC	BRAWLEY MUNICIPAL
KBWD	BROWNWOOD REGIONAL ARPT
KBWG	BOWLING GREEN-WARREN COUNTY REGNL ARPT
KBWI	BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT
KBXA	GEORGE R CARR MEMORIAL
KBXK	BUCKEYE MUNICIPAL ARPT
KBYH	ARKANSAS INTERNATIONAL ARPT
KBYI	BURLEY MUNICIPAL AIRPORT
KBZN	GALLATIN FIELD ARPT
KCAE	COLUMBIA METRO
KCAK	AKRON-CANTON REGIONAL
KCBE	GRTR CUMBERLAND REGIONAL
KCBF	COUNCIL BLUFFS MUNICIPAL ARPT
KCBK	SHALZ FIELD ARPT
KCCR	BUCHANAN FIELD ARPT
KCDC	CEDAR CITY REGIONAL
KCDI	CAMBRIDGE MUNICIPAL
KCDR	CHADRON MUNICIPAL ARPT
KCDW	ESSEX COUNTY AIRPORT
KCEC	JACK MCNAMARA FIELD ARPT
KCEF	WESTOVER AIR RESERVE BASE/METROPOLITAN ARPT
KCEU	OCONEE COUNTY REGIONAL ARPT
KCEV	METTEL FIELD ARPT
KCEW	BOB SIKES ARPT
KCEZ	CORTEZ MUNICIPAL ARPT
KCFJ	CRAWFORDSVILLE MUNI ARPT
KCGC	CRYSTAL RIVER AIRPORT
KCGE	CAMBRIDGE-DORCHESTER ARPT
KCGF	CUYAHOGA COUNTY ARPT
KCGI	CAPE GIRARDEAU REGIONAL ARPT
KCGS	COLLEGE PARK ARPT
KCGX	MERRILL C MEIGS ARPT
KCHA	LOVELL FIELD ARPT
KCHD	CHANDLER MUNICIPAL ARPT
KCHO	CHARLOTTESVILLE-ALBEMARLE ARPT
KCHS	CHARLESTON AFB/INTL ARPT
KCHT	CHILLICOTHE MUNICIPAL ARPT
KCIC	CHICO MUNICIPAL ARPT
KCID	THE EASTERN IOWA ARPT
KCIU	CHIPPEWA COUNTY INTL ARPT
KCJR	CULPEPER REGIONAL ARPT
KCKB	NORTH CENTRAL WEST VIRGINIA ARPT
KCKN	CROOKSTON MUNI ARPT-KIRKWOOD FIELD
KCKP	CHEROKEE COUNTY REGIONAL ARPT
KCKV	OUTLAW FIELD ARPT
KCLE	CLEVELAND-HOPKINS INTL ARPT
KCLI	CLINTONVILLE MUNICIPAL ARPT
KCLL	EASTERWOOD FIELD AIRPORT
KCLM	WILLIAM R FAIRCHILD INTL ARPT
KCLS	CHEHALIS-CENTRALIA ARPT
KCLT	CHARLOTTE/DOUGLAS INTL ARPT
KCLW	CLEARWATER AIR PARK
KCMA	CAMARILLO
KCMD	CULLMAN REGIONAL ARPT-FOLSOM FIELD
KCMH	PORT COLUMBUS INTL
KCMI	UNIV OF ILLINOIS -WILLARD ARPT
KCMX	HOUGHTON COUNTY MEM
KCNH	CLAREMONT MUNICIPAL ARPT
KCNM	CAVERN CITY AIR TERMINAL
KCNO	CHINO AIRPORT
KCNW	TSTC WACO
KCNY	CANYONLANDS FIELD
KCOD	YELLOWSTONE REGIONAL
KCOE	COEUR DALENE ARPT-PAPPY BOYINGTON FIELD
KCOF	PATRICK AIR FORCE BASE
KCOI	MERRIT ISLAND ARPT
KCOS	CITY OF COLORADO SPRINGS MUNI APRT
KCOU	COLUMBIA REGIONAL
KCPM	COMPTON/WOODLEY ARPT
KCPR	CASPER/NATRONA COUNTY INTL ARPT
KCPS	ST LOUIS DOWNTOWN
KCPT	CLEBURNE REGIONAL ARPT
KCQF	H L SONNY CALLAHAN ARPT
KCQX	CHATHAM MUNICIPAL ARPT
KCRE	GRAND STRAND ARPT
KCRG	CRAIG MUNICIPAL ARPT
KCRP	CORPUS CHRISTI INTL ARPT
KCRQ	MC CLELLAN-PALOMAR ARPT
KCRS	C DAVID DAMPBELL FIELD-CORSICANA MUNI ARPT
KCRW	YEAGER ARPT
KCRZ	CORNING MUNICIPAL ARPT -IA
KCSG	COLUMBUS ARPT
KCSM	CLINTON-SHERMAN ARPT
KCSV	CROSSVILLE MEMORIAL ARPT/WHITSON FIELD
KCTB	CUT BANK MUNICIPAL ARPT
KCTJ	WEST GEORGIA REGNL ARPT-O V GRAY FIELD
KCTY	CROSS CITY ARPT
KCUB	JIM HAMILTON L B OWENS ARPT
KCUT	CUSTER COUNTY ARPT
KCVC	COVINGTON MUNICIPAL ARPT
KCVG	CINCINNATI/NORTHERN KENTUCKY INTL ARPT
KCVN	CLOVIS MUNICIPAL ARPT
KCVO	CORVALLIS MUNICIPAL ARPT
